Id_bureau;INS07T1;ABS07T1;VOT07T1;BLC07T1;EXP07T1;EXP07T1_nb;ROY07T1;SAR07T1;INS07T2;ABS07T2;VOT07T2;BLC07T2;EXP07T2;EXP07T2_nb;ROY07T2;SAR07T2
49007_311;1193;0.117351215;0.882648785;0.005867561;0.876781224;1046;0.254302103;0.034416826;1193;0.129086337;0.870913663;0.03101425;0.839899413;1002;0.459081836;0.540918164
49007_312;1186;0.103709949;0.896290051;0.005902192;0.890387858;1056;0.277462121;0.019886364;1186;0.115514334;0.884485666;0.037099494;0.847386172;1005;0.446766169;0.553233831
49007_313;1040;0.169230769;0.830769231;0.0125;0.818269231;851;0.211515864;0.052878966;1040;0.179807692;0.820192308;0.035576923;0.784615385;816;0.5625;0.4375
49007_314;951;0.113564669;0.886435331;0.009463722;0.876971609;834;0.26498801;0.014388489;951;0.133543638;0.866456362;0.028391167;0.838065195;797;0.43663739;0.56336261
49007_315;1050;0.107619048;0.892380952;0.01047619;0.881904762;926;0.260259179;0.024838013;1050;0.131428571;0.868571429;0.036190476;0.832380952;874;0.401601831;0.598398169
49007_316;1167;0.11311054;0.88688946;0.010282776;0.876606684;1023;0.276637341;0.025415445;1167;0.131962296;0.868037704;0.036846615;0.831191088;970;0.429896907;0.570103093
49007_317;888;0.119369369;0.880630631;0.007882883;0.872747748;775;0.254193548;0.023225806;888;0.135135135;0.864864865;0.038288288;0.826576577;734;0.554495913;0.445504087
49007_318;1143;0.126859143;0.873140857;0.005249344;0.867891514;992;0.258064516;0.03125;1143;0.139982502;0.860017498;0.04111986;0.818897638;936;0.418803419;0.581196581
49007_319;939;0.099041534;0.900958466;0.001064963;0.899893504;845;0.229585799;0.013017751;939;0.109691161;0.890308839;0.031948882;0.858359957;806;0.302729529;0.697270471
49007_401;921;0.078175896;0.921824104;0.005428882;0.916395223;844;0.257109005;0.035545024;921;0.091205212;0.908794788;0.040173724;0.868621064;800;0.50625;0.49375
49007_402;1147;0.176983435;0.823016565;0.022667829;0.800348736;918;0.240740741;0.052287582;1147;0.200523104;0.799476896;0.042720139;0.756756757;868;0.529953917;0.470046083
49007_403;797;0.119196989;0.880803011;0.035131744;0.845671267;674;0.222551929;0.034124629;797;0.130489335;0.869510665;0.04391468;0.825595985;658;0.539513678;0.460486322
49007_404;1349;0.160859896;0.839140104;0.020014826;0.819125278;1105;0.23438914;0.050678733;1351;0.176165803;0.823834197;0.035529238;0.788304959;1065;0.548356808;0.451643192
49007_405;1275;0.125490196;0.874509804;0.010980392;0.863529412;1101;0.246139873;0.059945504;1275;0.129411765;0.870588235;0.035294118;0.835294118;1065;0.565258216;0.434741784
49007_406;1213;0.113767519;0.886232481;0.014014839;0.872217642;1058;0.263705104;0.055765595;1213;0.127782358;0.872217642;0.048639736;0.823577906;999;0.552552553;0.447447447
49007_407;895;0.134078212;0.865921788;0.017877095;0.848044693;759;0.217391304;0.034255599;895;0.140782123;0.859217877;0.052513966;0.806703911;722;0.513850416;0.486149584
49007_501;1292;0.127708978;0.872291022;0.003869969;0.868421053;1122;0.268270945;0.027629234;1291;0.150271108;0.849728892;0.040278854;0.809450039;1045;0.5215311;0.4784689
49007_502;1282;0.110764431;0.889235569;0.009360374;0.879875195;1128;0.281028369;0.028368794;1282;0.132605304;0.867394696;0.038221529;0.829173167;1063;0.494825964;0.505174036
49007_503;1118;0.177996422;0.822003578;0.008944544;0.813059034;909;0.250825083;0.0330033;1118;0.184257603;0.815742397;0.02862254;0.787119857;880;0.496590909;0.503409091
49007_504;1112;0.209532374;0.790467626;0.017985612;0.772482014;859;0.168800931;0.08032596;1112;0.213129496;0.786870504;0.027877698;0.758992806;844;0.687203791;0.312796209
49007_505;1256;0.189490446;0.810509554;0.018312102;0.792197452;995;0.233165829;0.047236181;1257;0.190930788;0.809069212;0.037390613;0.7716786;970;0.557731959;0.442268041
49007_506;999;0.137137137;0.862862863;0.005005005;0.857857858;857;0.221703617;0.026837806;999;0.136136136;0.863863864;0.04004004;0.823823824;823;0.515188335;0.484811665
